"Original_country_name_in_FUBC_report","Original_crop_name_in_FUBC_report","Year","Year_for_FAO_area","FAO_area_ha","IFA_area_ha","FAO_area_used_Yes_No","IFA_N_t","IFA_P2O5_t","IFA_K2O_t","Comment","Survey_respondent"
"China","Cotton","2018",2018,3354410,3194700,"Yes",986867.422,663837.739,167385.059,NA,"Ping He and Weifeng Zhang based on NDRC data"
"China","Sugar Beet","2018",2018,216130,174290,"Yes",72317.098,41345.669,8731.652,NA,"Ping He and Weifeng Zhang based on NDRC data"
"China","Sugar Cane","2018",2018,1405840,1371400,"Yes",608447.552,258112.224,324046.12,NA,"Ping He and Weifeng Zhang based on NDRC data"
"China","Tea","2018",2018,2985800,2848700,"Yes",1325695.2,343367,355310.2,"Average application rates provided by Dr. Weifeng Zhang (6190 samples, 2010-2014)","Ping He and Weifeng Zhang based on NDRC data"
"China","Roots & Tubers","2018",2018,7523380,NA,"Yes",1108946.212,659649.9584,584190.457,"Average application rates provided by Dr. Weifeng Zhang: 324 samples, mainly potato, 2018.","Ping He and Weifeng Zhang based on NDRC data"
"China","Fruits (apples, citrus, oranges)","2018",2018,5062032,11135920,"Yes",1624912.272,1366748.64,1219949.712,"Apples, citrus and oranges only","Ping He and Weifeng Zhang based on NDRC data"
"China","Vegetables","2018",2018,23215444,19981100,"Yes",6537469.0304,4645410.3444,3540355.21,NA,"Ping He and Weifeng Zhang based on NDRC data"
"China","Other Cereals","2018",2018,2783731,3110400,"Yes",NA,NA,NA,NA,"Ping He and Weifeng Zhang based on NDRC data"
"China","Oil Palm","2018",2018,50432,NA,"Yes",NA,NA,NA,NA,"Ping He and Weifeng Zhang based on NDRC data"
"China","Other Oil Crops","2018",2018,6989657,NA,"Yes",NA,NA,NA,NA,"Ping He and Weifeng Zhang based on NDRC data"
"China","Coffee","2018",2018,38768,NA,"Yes",NA,NA,NA,NA,"Ping He and Weifeng Zhang based on NDRC data"
"China","Pulses","2018",2018,2758213,NA,"Yes",NA,NA,NA,NA,"Ping He and Weifeng Zhang based on NDRC data"
"Cyprus","Wheat","2017/18",2018,10200,5000,"No",275,100,60,NA,"Fertilizers Europe"
"Cyprus","Grain maize, including corn cob maize","2017/18",2018,0,0,"No",0,0,0,NA,"Fertilizers Europe"
"Cyprus","Green maize","2017/18",2018,0,0,"No",0,0,0,"No silage maize and no maize for biogas in Cyprus","Fertilizers Europe"
"Cyprus","Other cereals","2017/18",2018,13820,30000,"No",1490,590,356,"Barley, rye, triticale, oats, rice","Fertilizers Europe"
"Cyprus","Oilseed rape","2017/18",2018,0,0,"No",0,0,0,NA,"Fertilizers Europe"
"Cyprus","Other oil crops","2017/18",2018,10840,0,"No",0,0,0,"Sunflower, soya, linseed","Fertilizers Europe"
"Cyprus","Sugar beet","2017/18",2018,0,0,"No",0,0,0,NA,"Fertilizers Europe"
"Cyprus","Fruits & Treenuts","2017/18",2018,18050,32000,"No",960,640,960,"nuts, herbs, bushes, vineyards","Fertilizers Europe"
"Cyprus","Vegetables","2017/18",2018,2050,3000,"No",180,105,90,NA,"Fertilizers Europe"
"Cyprus","Pulses (peas, beans)","2017/18",2018,310,1000,"No",20,15,5,NA,"Fertilizers Europe"
"Cyprus","Potato","2017/18",2018,4540,5000,"No",300,150,60,"Data for potatoes can be used as proxy for Roots and tubers","Fertilizers Europe"
"Cyprus","Total Grassland","2017/18",2018,1832,1000,"No",10,4,3,NA,"Fertilizers Europe"
"Cyprus","Fertilized forests","2017/18",2018,NA,0,"No",0,0,0,NA,"Fertilizers Europe"
"Cyprus","Other crops","2017/18",2018,0,23000,"No",920,230,115,"Other crops include tobacco, poppy, fodder (legumes), fodder (other), short rotation coppice, perenial herbaceous crops","Fertilizers Europe"
"Czech Republic","Wheat","2017/18",2018,819690,832000,"No",137280,18304,8320,NA,"Fertilizers Europe"
"Czech Republic","Grain maize, including corn cob maize","2017/18",2018,81850,86000,"No",13760,1720,1290,NA,"Fertilizers Europe"
"Czech Republic","Green maize","2017/18",2018,0,224100,"No",40338,6723,3361.5,"Silage maize (no maize for biogas in Czech Rep)","Fertilizers Europe"
"Czech Republic","Other cereals","2017/18",2018,437240,436730,"No",39913.05,7073.23,3468.53,"Barley, rye, triticale, oats, rice","Fertilizers Europe"
"Czech Republic","Oilseed rape","2017/18",2018,411800,394000,"No",70920,11820,5910,NA,"Fertilizers Europe"
"Czech Republic","Other oil crops","2017/18",2018,77530,38600,"No",3474,579,772,"Sunflower, soya, linseed","Fertilizers Europe"
"Czech Republic","Sugar beet","2017/18",2018,64760,66100,"No",9915,1983,2313.5,NA,"Fertilizers Europe"
"Czech Republic","Fruits & Treenuts","2017/18",2018,54020,76000,"No",5780,2230,4890,"nuts, herbs, bushes, vineyards","Fertilizers Europe"
"Czech Republic","Vegetables","2017/18",2018,10565,14248,"No",2422.16,854.88,997.36,NA,"Fertilizers Europe"
"Czech Republic","Pulses (peas, beans)","2017/18",2018,35160,42857,"No",1285.71,214.285,171.428,NA,"Fertilizers Europe"
"Czech Republic","Potato","2017/18",2018,22890,23400,"No",3042,585,819,"Data for potatoes can be used as proxy for Roots and tubers","Fertilizers Europe"
"Czech Republic","Total Grassland","2017/18",2018,1023000,950000,"No",7500,300,450,NA,"Fertilizers Europe"
"Czech Republic","Fertilized forests","2017/18",2018,NA,0,"No",0,0,0,NA,"Fertilizers Europe"
"Czech Republic","Other crops","2017/18",2018,NA,444400,"No",19358,222,844,"Other crops include tobacco, poppy, fodder (legumes), fodder (other), short rotation coppice, perenial herbaceous crops","Fertilizers Europe"
"Denmark","Wheat","2017/18",2018,425800,426000,"No",56232,6816,14058,NA,"Fertilizers Europe"
"Denmark","Grain maize, including corn cob maize","2017/18",2018,6300,8000,"No",320,72,176,NA,"Fertilizers Europe"
"Denmark","Green maize","2017/18",2018,0,183000,"No",7320,2196,1647,"Silage maize + Maize for biogas","Fertilizers Europe"
"Denmark","Other cereals","2017/18",2018,984180,991000,"No",77330,15076,24580,"Barley, rye, triticale, oats, rice","Fertilizers Europe"
"Denmark","Oilseed rape","2017/18",2018,142600,143000,"No",17875,1716,3575,NA,"Fertilizers Europe"
"Denmark","Other oil crops","2017/18",2018,0,0,"No",0,0,0,"Sunflower, soya, linseed","Fertilizers Europe"
"Denmark","Sugar beet","2017/18",2018,34300,34000,"No",3570,782,1700,NA,"Fertilizers Europe"
"Denmark","Fruits & Treenuts","2017/18",2018,4300,5000,"No",500,145,325,"nuts, herbs, bushes, vineyards","Fertilizers Europe"
"Denmark","Vegetables","2017/18",2018,10320,19000,"No",3268,741,950,NA,"Fertilizers Europe"
"Denmark","Pulses (peas, beans)","2017/18",2018,32000,32000,"No",0,448,768,NA,"Fertilizers Europe"
"Denmark","Potato","2017/18",2018,52000,52000,"No",7124,1092,3536,"Data for potatoes can be used as proxy for Roots and tubers","Fertilizers Europe"
"Denmark","Total Grassland","2017/18",2018,707000,225000,"No",5850,234,1092,NA,"Fertilizers Europe"
"Denmark","Fertilized forests","2017/18",2018,NA,20000,"No",200,160,540,NA,"Fertilizers Europe"
"Denmark","Other crops","2017/18",2018,NA,426000,"No",45170,3124,11878,"Other crops include tobacco, poppy, fodder (legumes), fodder (other), short rotation coppice, perenial herbaceous crops","Fertilizers Europe"
"Egypt","Fruit Primary","2018",2019,682030,NA,"Yes",123314.094553875,30302.6526217849,22112.5480291046,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Egypt","Other cereals","2018",2019,230552,NA,"Yes",16936.9375860541,8693.9703711458,5286.82642063944,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Egypt","Other Oil Crops","2018",2019,197942,NA,"Yes",34126.4438975825,9095.67061578676,2458.26729060513,"Based on 2014 fertilizer application rates and 2018 FAO harvested area. Includes Rapeseed.","IFA estimates"
"Egypt","Rice, paddy","2018",2019,799032,NA,"Yes",186704.917789433,13562.0212283978,0,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Egypt","Roots and Tubers, Total","2018",2019,195592,NA,"Yes",38020.0530731862,18819.224376354,10172.4624105571,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Egypt","Seed cotton","2018",2019,100000,NA,"Yes",21974.81130501,5075.99209372797,2351.78989938813,"Based on 2014 fertilizer application rates and 2018 FAO harvested area. Area refers to cotton; nutrient quantities refers to fiber crops.","IFA estimates"
"Egypt","Soybeans","2018",2019,14000,NA,"Yes",708.592401880916,503.626892795166,0,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Egypt","Sugar beet and sugar cane","2018",2019,348496,NA,"Yes",84317.9067925613,23752.0854294704,13480.7923504316,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Egypt","Vegetables Primary","2018",2019,636001,NA,"Yes",130011.02304653,32599.9034959351,20825.3042521737,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Egypt","Wheat","2018",2019,1410912,NA,"Yes",254478.80241825,30813.3605885666,23061.7676621538,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Egypt","Grassland","2018",2019,NA,NA,"Yes",0,0,0,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Egypt","Residual","2018",2019,261691,NA,"Yes",79479.7843833252,21347.8435547652,10385.3441878373,"Based on 2014 fertilizer application rates and 2018 FAO harvested area. The residual area includes Citrus Fruit, Pulses and Treenuts.","IFA estimates"
"Egypt","Maize","2018",2019,994818,NA,"Yes",275226.632752312,28233.6487312704,14864.8974971091,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Estonia","Wheat","2017/18",2018,154580,155000,"No",19375,3875,6975,NA,"Fertilizers Europe"
"Estonia","Grain maize, including corn cob maize","2017/18",2018,0,0,"No",0,0,0,NA,"Fertilizers Europe"
"Estonia","Green maize","2017/18",2018,0,11000,"No",935,165,220,"Silage maize (no maize for biogas in Estonia)","Fertilizers Europe"
"Estonia","Other cereals","2017/18",2018,195850,195000,"No",17265,2640,4710,"Barley, rye, triticale, oats, rice","Fertilizers Europe"
"Estonia","Oilseed rape","2017/18",2018,72680,73000,"No",8030,2920,5110,NA,"Fertilizers Europe"
"Estonia","Other oil crops","2017/18",2018,3590,0,"No",0,0,0,"Sunflower, soya, linseed","Fertilizers Europe"
"Estonia","Sugar beet","2017/18",2018,0,0,"No",0,0,0,NA,"Fertilizers Europe"
"Estonia","Fruits & Treenuts","2017/18",2018,2530,7000,"No",180,150,120,"nuts, herbs, bushes, vineyards","Fertilizers Europe"
"Estonia","Vegetables","2017/18",2018,1290,4000,"No",320,240,360,NA,"Fertilizers Europe"
"Estonia","Pulses (peas, beans)","2017/18",2018,46810,47000,"No",1410,705,705,NA,"Fertilizers Europe"
"Estonia","Potato","2017/18",2018,3270,5000,"No",375,350,450,"Data for potatoes can be used as proxy for Roots and tubers","Fertilizers Europe"
"Estonia","Total Grassland","2017/18",2018,492000,314000,"No",1750,250,250,NA,"Fertilizers Europe"
"Estonia","Fertilized forests","2017/18",2018,NA,0,"No",0,0,0,NA,"Fertilizers Europe"
"Estonia","Other crops","2017/18",2018,NA,159000,"No",5510,795,850,"Other crops include tobacco, poppy, fodder (legumes), fodder (other), short rotation coppice, perenial herbaceous crops","Fertilizers Europe"
"Finland","Wheat","2017/18",2018,177800,178000,"No",14062,1780,1780,NA,"Fertilizers Europe"
"Finland","Grain maize, including corn cob maize","2017/18",2018,0,0,"No",0,0,0,NA,"Fertilizers Europe"
"Finland","Green maize","2017/18",2018,0,1000,"No",50,9,0,"Silage maize (no maize for biogas in Finland)","Fertilizers Europe"
"Finland","Other cereals","2017/18",2018,729000,865000,"No",47727,7383,7383,"Barley, rye, triticale, oats, rice","Fertilizers Europe"
"Finland","Oilseed rape","2017/18",2018,53300,56000,"No",4592,1008,1008,NA,"Fertilizers Europe"
"Finland","Other oil crops","2017/18",2018,1500,4000,"No",160,72,80,"Sunflower, soya, linseed","Fertilizers Europe"
"Finland","Sugar beet","2017/18",2018,9800,10000,"No",850,550,540,NA,"Fertilizers Europe"
"Finland","Fruits & Treenuts","2017/18",2018,13400,4000,"No",160,124,280,"nuts, herbs, bushes, vineyards","Fertilizers Europe"
"Finland","Vegetables","2017/18",2018,10570,15000,"No",1200,945,1320,NA,"Fertilizers Europe"
"Finland","Pulses (peas, beans)","2017/18",2018,24700,31000,"No",1085,744,775,NA,"Fertilizers Europe"
"Finland","Potato","2017/18",2018,21400,21000,"No",1365,1659,1848,"Data for potatoes can be used as proxy for Roots and tubers","Fertilizers Europe"
"Finland","Total Grassland","2017/18",2018,787000,763000,"No",61803,6104,21364,NA,"Fertilizers Europe"
"Finland","Fertilized forests","2017/18",2018,NA,50000,"No",2500,750,500,NA,"Fertilizers Europe"
"Finland","Other crops","2017/18",2018,NA,75000,"No",4250,904,1079,"Tobacco, poppy, fodder (legumes), fodder (other), short rotation coppice, perenial herbaceous crops","Fertilizers Europe"
"France","Wheat","2017/18",2018,5234090,5236000,"No",863940,99484,83776,NA,"Fertilizers Europe"
"France","Grain maize, including corn cob maize","2017/18",2018,1426260,1490000,"No",216050,56620,52150,NA,"Fertilizers Europe"
"France","Green maize","2017/18",2018,NA,1420000,"No",49700,28400,28400,"Silage maize (no maize for biogas in France)","Fertilizers Europe"
"France","Other cereals","2017/18",2018,2394970,2333000,"No",283410,41994,36198,"Barley, rye, triticale, oats, rice","Fertilizers Europe"
"France","Oilseed rape","2017/18",2018,1616590,1617000,"No",258720,51744,56595,NA,"Fertilizers Europe"
"France","Other oil crops","2017/18",2018,758170,741000,"No",26676,19266,14820,"Sunflower, soya, linseed","Fertilizers Europe"
"France","Sugar beet","2017/18",2018,485850,486000,"No",48600,24300,36450,NA,"Fertilizers Europe"
"France","Fruits & Treenuts","2017/18",2018,937220,930000,"No",32700,18600,18750,"nuts, herbs, bushes, vineyards","Fertilizers Europe"
"France","Vegetables","2017/18",2018,198400,240000,"No",21600,12000,13200,NA,"Fertilizers Europe"
"France","Pulses (peas, beans)","2017/18",2018,292860,227000,"No",0,7945,6810,NA,"Fertilizers Europe"
"France","Potato","2017/18",2018,199886,191000,"No",22920,9550,16235,"Data for potatoes can be used as proxy for Roots and tubers","Fertilizers Europe"
"France","Total Grassland","2017/18",2018,12613500,12260000,"No",402210,39240,49050,NA,"Fertilizers Europe"
"France","Fertilized forests","2017/18",2018,NA,0,"No",0,0,0,NA,"Fertilizers Europe"
"France","Other crops","2017/18",2018,0,721000,"No",16400,17100,34800,"Tobacco, poppy, fodder (legumes), fodder (other), short rotation coppice, perenial herbaceous crops","Fertilizers Europe"
"Germany","Wheat","2017/18",2018,3036300,3202000,"No",480300,38424,48030,"revised in Dec. 2021","Fertilizers Europe"
"Germany","Grain maize, including corn cob maize","2017/18",2018,410900,432000,"No",51840,19440,23328,"revised in Dec. 2021","Fertilizers Europe"
"Germany","Green maize","2017/18",2018,4813,2144000,"No",110032,17152,32160,"Silage maize + Maize for biogas","Fertilizers Europe"
"Germany","Other cereals","2017/18",2018,2694400,2643000,"No",308375,36559,37002,"Barley, rye, triticale, oats, rice; revised in December 2021","Fertilizers Europe"
"Germany","Oilseed rape","2017/18",2018,1228300,1224000,"No",171360,30600,91800,"revised in Dec. 2021","Fertilizers Europe"
"Germany","Other oil crops","2017/18",2018,52500,45000,"No",1800,765,1980,"Sunflower, soya, linseed; revised in December 2021","Fertilizers Europe"
"Germany","Sugar beet","2017/18",2018,413900,410000,"No",51250,24600,56990,"revised in Dec. 2021","Fertilizers Europe"
"Germany","Fruits & Treenuts","2017/18",2018,173002,206000,"No",8240,1236,10300,"nuts, herbs, bushes, vineyards; revised in December 2021","Fertilizers Europe"
"Germany","Vegetables","2017/18",2018,103090,140000,"No",23100,7000,18200,"revised in Dec. 2021","Fertilizers Europe"
"Germany","Pulses (peas, beans)","2017/18",2018,167600,115000,"No",805,1725,5175,"revised in Dec. 2021","Fertilizers Europe"
"Germany","Potato","2017/18",2018,252200,252000,"No",34020,15120,41580,"Data for potatoes can be used as proxy for Roots and tubers; revised in December 2021","Fertilizers Europe"
"Germany","Total Grassland","2017/18",2018,7584000,4650000,"No",229100,15800,19750,"revised in Dec. 2021","Fertilizers Europe"
"Germany","Fertilized forests","2017/18",2018,NA,0,"No",0,0,0,"revised in Dec. 2021","Fertilizers Europe"
"Germany","Other crops","2017/18",2018,NA,813000,"No",52120,9674,28925,"Tobacco, poppy, fodder (legumes), fodder (other), short rotation coppice, perenial herbaceous crops","Fertilizers Europe"
"Greece","Wheat","2017/18",2018,404490,430000,"No",22360,5590,0,NA,"Fertilizers Europe"
"Greece","Grain maize, including corn cob maize","2017/18",2018,113450,100000,"No",25000,2400,700,NA,"Fertilizers Europe"
"Greece","Green maize","2017/18",2018,0,20000,"No",3600,440,100,"Silage maize (no maize for biogas in Greece)","Fertilizers Europe"
"Greece","Other cereals","2017/18",2018,270040,280000,"No",14000,4240,150,"Barley, rye, triticale, oats, rice","Fertilizers Europe"
"Greece","Oilseed rape","2017/18",2018,3390,10000,"No",500,150,100,NA,"Fertilizers Europe"
"Greece","Other oil crops","2017/18",2018,1047830,80000,"No",3600,1760,800,"Sunflower, soya, linseed","Fertilizers Europe"
"Greece","Sugar beet","2017/18",2018,1430,5000,"No",475,150,80,NA,"Fertilizers Europe"
"Greece","Fruits & Treenuts","2017/18",2018,350610,1116000,"No",48238,16890,15764,"nuts, herbs, bushes, vineyards","Fertilizers Europe"
"Greece","Vegetables","2017/18",2018,62350,64000,"No",14080,4864,10432,NA,"Fertilizers Europe"
"Greece","Pulses (peas, beans)","2017/18",2018,134220,17000,"No",255,102,102,NA,"Fertilizers Europe"
"Greece","Potato","2017/18",2018,16830,20000,"No",3300,1840,2960,"Data for potatoes can be used as proxy for Roots and tubers","Fertilizers Europe"
"Greece","Total Grassland","2017/18",2018,2882000,3560000,"No",0,0,0,NA,"Fertilizers Europe"
"Greece","Fertilized forests","2017/18",2018,NA,0,"No",0,0,0,NA,"Fertilizers Europe"
"Greece","Other crops","2017/18",2018,NA,790000,"No",42855,11740,14495,"Tobacco, poppy, fodder (legumes), fodder (other), short rotation coppice, perenial herbaceous crops","Fertilizers Europe"
"Hungary","Wheat","2017/18",2018,1026150,960000,"No",115200,24000,12480,NA,"Fertilizers Europe"
"Hungary","Grain maize, including corn cob maize","2017/18",2018,939080,990000,"No",118800,21780,29700,NA,"Fertilizers Europe"
"Hungary","Green maize","2017/18",2018,NA,62000,"No",7420,180,360,"Silage maize + Maize for biogas","Fertilizers Europe"
"Hungary","Other cereals","2017/18",2018,402730,455000,"No",27145,6825,5925,"Barley, rye, triticale, oats, rice","Fertilizers Europe"
"Hungary","Oilseed rape","2017/18",2018,330560,293000,"No",38090,11720,8790,NA,"Fertilizers Europe"
"Hungary","Other oil crops","2017/18",2018,703920,730000,"No",54750,11680,16790,"Sunflower, soya, linseed","Fertilizers Europe"
"Hungary","Sugar beet","2017/18",2018,15770,15000,"No",1245,180,555,NA,"Fertilizers Europe"
"Hungary","Fruits & Treenuts","2017/18",2018,154880,164000,"No",13280,800,0,"nuts, herbs, bushes, vineyards","Fertilizers Europe"
"Hungary","Vegetables","2017/18",2018,47412,75000,"No",6600,1275,3600,NA,"Fertilizers Europe"
"Hungary","Pulses (peas, beans)","2017/18",2018,17170,20000,"No",1000,300,440,NA,"Fertilizers Europe"
"Hungary","Potato","2017/18",2018,13510,13000,"No",715,260,286,"Data for potatoes can be used as proxy for Roots and tubers","Fertilizers Europe"
"Hungary","Total Grassland","2017/18",2018,861000,790000,"No",1760,160,160,NA,"Fertilizers Europe"
"Hungary","Fertilized forests","2017/18",2018,NA,0,"No",0,0,0,NA,"Fertilizers Europe"
"Hungary","Other crops","2017/18",2018,NA,217500,"No",7059,1261,1072,"Tobacco, poppy, fodder (legumes), fodder (other), short rotation coppice, perenial herbaceous crops","Fertilizers Europe"
"India","Wheat","2018/19",2018,29650590,31478000,"No",3535940,1050847,181360,"FAI applied 2017/18 crop area breakdown to 2018/19 total area and applied 2016/17 breakdown of nutrient use by crop to 2018/19 total use.","Fertilizer Association of India (FAI)"
"India","Rice","2018/19",2018,44156450,45530000,"No",6163176,2351298,1002328,"FAI applied 2017/18 crop area breakdown to 2018/19 total area and applied 2016/17 breakdown of nutrient use by crop to 2018/19 total use.","Fertilizer Association of India (FAI)"
"India","Maize, Grain","2018/19",2018,9380070,8992000,"No",936623,381314,168810,"FAI applied 2017/18 crop area breakdown to 2018/19 total area and applied 2016/17 breakdown of nutrient use by crop to 2018/19 total use.","Fertilizer Association of India (FAI)"
"India","Maize, Green (silage, bioenergy)","2018/19",2018,NA,NA,"No",NA,NA,NA,"FAI applied 2017/18 crop area breakdown to 2018/19 total area and applied 2016/17 breakdown of nutrient use by crop to 2018/19 total use.","Fertilizer Association of India (FAI)"
"India","Other Cereals","2018/19",2018,14906410,14940000,"No",978694,256746,51061,"FAI applied 2017/18 crop area breakdown to 2018/19 total area and applied 2016/17 breakdown of nutrient use by crop to 2018/19 total use.","Fertilizer Association of India (FAI)"
"India","Soybeans","2018/19",2018,10328830,10945000,"No",399090,343157,39651,"FAI applied 2017/18 crop area breakdown to 2018/19 total area and applied 2016/17 breakdown of nutrient use by crop to 2018/19 total use.","Fertilizer Association of India (FAI)"
"India","Oil Palm","2018/19",2018,0,79000,"No",8873,4098,6314,"FAI applied 2017/18 crop area breakdown to 2018/19 total area and applied 2016/17 breakdown of nutrient use by crop to 2018/19 total use.","Fertilizer Association of India (FAI)"
"India","Rapeseed / Canola","2018/19",2018,5977160,5629000,"No",312408,149349,63761,"FAI applied 2017/18 crop area breakdown to 2018/19 total area and applied 2016/17 breakdown of nutrient use by crop to 2018/19 total use.","Fertilizer Association of India (FAI)"
"India","Other Oil Crops","2018/19",2018,10281880,10217000,"No",506986,238554,87754,"FAI applied 2017/18 crop area breakdown to 2018/19 total area and applied 2016/17 breakdown of nutrient use by crop to 2018/19 total use.","Fertilizer Association of India (FAI)"
"India","Cotton","2018/19",2018,12350000,12440000,"No",1519200,610971,204220,"FAI applied 2017/18 crop area breakdown to 2018/19 total area and applied 2016/17 breakdown of nutrient use by crop to 2018/19 total use.","Fertilizer Association of India (FAI)"
"India","Jute","2018/19",2018,685750,687000,"No",48379,14798,15068,"FAI applied 2017/18 crop area breakdown to 2018/19 total area and applied 2016/17 breakdown of nutrient use by crop to 2018/19 total use.","Fertilizer Association of India (FAI)"
"India","Sugar Cane","2018/19",2018,4737060,5094000,"No",937148,464725,278320,"FAI applied 2017/18 crop area breakdown to 2018/19 total area and applied 2016/17 breakdown of nutrient use by crop to 2018/19 total use.","Fertilizer Association of India (FAI)"
"India","Tea","2018/19",2018,622947,675000,"No",20298,2763,1133,"FAI applied 2017/18 crop area breakdown to 2018/19 total area and applied 2016/17 breakdown of nutrient use by crop to 2018/19 total use.","Fertilizer Association of India (FAI)"
"India","Coffee","2018/19",2018,413020,366000,"No",50061,20409,10925,"FAI applied 2017/18 crop area breakdown to 2018/19 total area and applied 2016/17 breakdown of nutrient use by crop to 2018/19 total use.","Fertilizer Association of India (FAI)"
"India","Cocoa","2018/19",2018,89000,10000,"No",237,53,201,"FAI applied 2017/18 crop area breakdown to 2018/19 total area and applied 2016/17 breakdown of nutrient use by crop to 2018/19 total use.","Fertilizer Association of India (FAI)"
"India","Roots & Tubers","2018/19",2018,2446000,540000,"No",46887,28024,22996,"FAI applied 2017/18 crop area breakdown to 2018/19 total area and applied 2016/17 breakdown of nutrient use by crop to 2018/19 total use.","Fertilizer Association of India (FAI)"
"India","Fruits & Treenuts","2018/19",2018,8993767,4771000,"No",376916,137408,203668,"FAI applied 2017/18 crop area breakdown to 2018/19 total area and applied 2016/17 breakdown of nutrient use by crop to 2018/19 total use.","Fertilizer Association of India (FAI)"
"India","Vegetables","2018/19",2018,8419776,6615000,"No",452234,223691,156510,"FAI applied 2017/18 crop area breakdown to 2018/19 total area and applied 2016/17 breakdown of nutrient use by crop to 2018/19 total use.","Fertilizer Association of India (FAI)"
"India","Pulses","2018/19",2018,34507888,28352000,"No",806075,407673,64091,"FAI applied 2017/18 crop area breakdown to 2018/19 total area and applied 2016/17 breakdown of nutrient use by crop to 2018/19 total use.","Fertilizer Association of India (FAI)"
"India","Grassland","2018/19",2018,10258000,0,"No",NA,NA,NA,"FAI applied 2017/18 crop area breakdown to 2018/19 total area and applied 2016/17 breakdown of nutrient use by crop to 2018/19 total use.","Fertilizer Association of India (FAI)"
"India","Residual","2018/19",2018,0,14717000,"No",538536,224273,122138,"FAI applied 2017/18 crop area breakdown to 2018/19 total area and applied 2016/17 breakdown of nutrient use by crop to 2018/19 total use.","Fertilizer Association of India (FAI)"
"Indonesia","Fruit Primary","2018",2018,837319,NA,"Yes",119618.176705789,38303.6263787611,55667.2981758952,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Indonesia","Oil palm fruit","2018",2018,14327093,NA,"Yes",1444703.07920056,703177.394245676,1882519.9818355,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Indonesia","Other Oil Crops","2018",2018,3347446,NA,"Yes",13609.2838677589,13073.7218767834,6333.41925023902,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Indonesia","Rice, paddy","2018",2018,11377934,NA,"Yes",988383.402220158,237371.963025693,114992.209124754,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Indonesia","Roots and Tubers, Total","2018",2018,935117,NA,"Yes",64164.8765598716,17122.1710478674,14930.3618155928,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Indonesia","Seed cotton","2018",2018,5162,NA,"Yes",91.6395810773381,58.688877756865,21.3233808817095,"Based on 2014 fertilizer application rates and 2018 FAO harvested area. Area refers to cotton; nutrient quantities refers to fiber crops.","IFA estimates"
"Indonesia","Soybeans","2018",2018,723804,NA,"Yes",17612.8152744353,16919.7035349259,8196.56231686656,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Indonesia","Sugar cane","2018",2018,415663,NA,"Yes",44799.4449775178,10759.116525923,26060.6720729824,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Indonesia","Vegetables Primary","2018",2018,1147863,NA,"Yes",159700.271836329,51138.5452735239,59456.3996603989,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Indonesia","Residual","2018",2018,4118641,NA,"Yes",75837.3205880074,28331.6902073596,22548.1689713786,"Based on 2014 fertilizer application rates and 2018 FAO harvested area. The residual area includes Citrus Fruit, Cocoa, Coffee, Maize Green, Pulses, Tea and Treenuts.","IFA estimates"
"Indonesia","Maize","2018",2018,5680360,NA,"Yes",665379.689188491,142043.37900573,82573.6033955064,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Iran","Fruit Primary","2018",2018,1159337,NA,"Yes",203156.712534245,16686.2387428227,11188.7428565205,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Iran","Other cereals","2018",2018,1880553,NA,"Yes",101012.419623527,8839.58491288275,1375.97339613281,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Iran","Other Oil Crops","2018",2018,354785,NA,"Yes",32274.4862638458,6399.70673608543,3359.66913044945,"Based on 2014 fertilizer application rates and 2018 FAO harvested area. Includes Rapeseed.","IFA estimates"
"Iran","Rice, paddy","2018",2018,427373,NA,"Yes",54018.2056918703,5108.34670450567,795.16733340935,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
